condition,variant,method,k,profile_id,name,gender,birth_year,cultural_background,hometown,life_events,rank,song,artist,year,relevance_reason,biographical_precision_1_5,cultural_appropriateness_1_5,notes
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",1,Girls Just Want To Have Fun,Cyndi Lauper,1984,"This song was a big hit during Aisha's early adulthood, a time when she was making significant life choices like enrolling in nursing school and getting married. Its upbeat nature can evoke memories of her youthful energy and aspirations.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",2,Endless Summer Nights,Richard Marx,1988,"Released around the time Aisha had her first child, this song can evoke memories of her early years as a mother and her life in Chicago, capturing the nostalgia of those formative years.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",3,Night Fever,Bee Gees,1978,"This disco classic may remind Aisha of her high school and early college years, a time of socializing and dancing, possibly connecting to her cultural background with its global appeal.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",4,Dancing Queen,ABBA,1977,"A timeless hit from her teenage years, this song can remind Aisha of her youthful days in St. Louis, filled with dreams and aspirations before her move to Chicago.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",5,MacArthur Park,Donna Summer,1979,"As a popular song during her transition to adulthood, it can evoke memories of change and growth, resonating with her journey through nursing school and early career.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",6,Last Dance,Donna Summer,1978,"This song might remind Aisha of celebratory moments and social gatherings, linking to her cultural background and the vibrant social scenes of her youth.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",7,Bad Girls,Donna Summer,1979,"Reflecting the disco era, this song can bring back memories of her teenage years, when she was exploring her identity and enjoying the music of the time.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",8,Figure Of Eight,Paul McCartney,1989,"Released around the time Aisha started a support group for immigrant women, this song can symbolize her resilience and leadership in her community.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",9,American Pie (Parts I & II),Don McLean,1972,"A classic from her early teenage years, this song might evoke memories of her early life in St. Louis and her cultural roots.",,,
B_dense_k10,B,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",10,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,1959,"Though released before her birth, this song's nostalgic feel might resonate with stories from her parents or older family members, connecting her to her cultural background.",,,
