condition,variant,method,k,profile_id,name,gender,birth_year,cultural_background,hometown,life_events,rank,song,artist,year,relevance_reason,biographical_precision_1_5,cultural_appropriateness_1_5,notes
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",1,Against All Odds (Take A Look At Me Now),Phil Collins,1984,"This song is part of Aisha's ground truth playlist and was popular during her early adulthood, a time when she was overcoming challenges and pursuing her nursing career.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",2,Hard Habit To Break,Chicago,1984,"This song was released during Aisha's move to Chicago in 1987, a significant life event that marked a new chapter in her career and personal life.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",3,I Don't Wanna Live Without Your Love,Chicago,1988,"This song aligns with the time when Aisha was building her family and career in Chicago, providing a familiar and comforting connection to that period.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",4,Look Away,Chicago,1989,"Released around the time Aisha had her first child, this song can evoke memories of her early motherhood and family life.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",5,"When The Going Gets Tough, The Tough Get Going",Billy Ocean,1986,"This motivational song reflects Aisha's determination and resilience, particularly during her time in nursing school and starting a support group for immigrant women.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",6,What Kind Of Man Would I Be?,Chicago,1990,This song's themes of reflection and relationships can resonate with Aisha's experiences of marriage and family life in the late 1980s.,,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",7,Only The Strong Survive,Jerry Butler,1969,"Though earlier than her reminiscence bump, this song's message of resilience aligns with Aisha's life story of overcoming odds.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",8,The Night Chicago Died,Paper Lace,1974,"While not directly linked to her life events, the mention of Chicago in the title can evoke memories of her significant move to the city.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",9,Where Were You (On Our Wedding Day)?,Lloyd Price,1959,"This song can bring back memories of Aisha's wedding to Amir, connecting to a pivotal moment in her life.",,,
C_dense_k10,C,dense,10,P097,Aisha Khan,Female,1963,Pakistani American,"St. Louis, Missouri","1981: Enrolled in nursing school against the odds | 1985: Married Amir, her college classmate | 1987: Moved to Chicago for better job opportunities | 1989: Had a daughter, her first child | 1992: Started a support group for immigrant women",10,The Wedding,June Valli,1959,"This song's theme of weddings can evoke joyful memories of Aisha's marriage, a cornerstone event in her life.",,,
