profile_id,name,hist_plausibility,bio_precision_llm,cultural_approp_llm,overall_llm
P097,Aisha Khan,0.6,4,3,4
P031,Eloise Johnson,0.7,4,5,4
P102,Elena Martinez,0.3,3,4,3
P099,Ngo Thi Pham,0.5,3,4,3
P078,Fernando De la Cruz,0.7,4,3,4
P171,Dolores Santos,0.3,4,5,4
P133,James Kowalski,0.7,3,3,3
P116,Robert Thompson,0.3,4,5,4
P019,Pauline Deschamps,0.6,4,3,4
P220,Rina Patel,0.8,4,4,4
P163,Giuseppe Romano,0.4,4,5,4
P034,Li Wei,0.8,4,3,4
P053,Lillian Kim,0.5,4,3,4
P136,Linda Park,0.9,3,2,3
P030,Samuel Kim,0.3,3,3,3
P062,Maria Gomez,0.5,3,4,3
P074,Carlos Medina,0.5,4,5,4
P015,Peter Kowalski,0.5,4,3,4
P168,Samuel Williams,0.9,4,5,4
P098,Samuel Lee,0.8,4,4,4
P095,Patricia O'Brien,0.6,4,4,4
P175,Eleanor Kowalski,0.7,3,3,3
P012,Dolores Rivera,0.2,3,5,4
P156,Dorothy Nguyen,0.7,3,3,3
P162,William Tucker,0.6,4,5,4
